OverallQual,GrLivArea,YearBuilt,GarageArea,TotalBsmtSF,1stFlrSF,YearRemodAdd,KitchenQual,GarageYrBlt,BsmtFinSF1,LotArea,MasVnrArea,2ndFlrSF,GarageFinish,OverallCond,LotFrontage,BedroomAbvGr,OpenPorchSF,BsmtUnfSF,BsmtExposure,BsmtFinType1
9,7.510977752014095,2007,774,1822,42.7551166528639,2007,0,2007.0,6.928203230275509,9.366831168735615,21.2602916254693,0.0,0,5,9.486832980505138,3.0,10.392304845413264,42.118879377305376,0,0
5,6.795705775173514,1962,308,894,29.899832775452104,1962,1,1962.0,0.0,8.794824928014517,0.0,0.0,0,5,7.745966692414834,2.0,0.0,29.899832775452104,1,0
5,6.871091294610546,1921,432,876,31.04834939252005,2006,1,1921.0,26.702059845637372,9.500020447090636,0.0,0.0,0,7,8.94427190999916,2.0,0.0,12.767145334803704,1,1
8,7.4318919168078,2002,857,1568,41.09744517606903,2002,0,2002.0,34.899856733230294,9.49288426657184,12.16552506059644,0.0,1,5,8.306623862918075,3.0,7.681145747868609,18.708286933869704,1,2
7,7.340186835320115,2001,843,1541,39.25557285278104,2002,0,2001.0,0.0,9.525443040003957,12.24744871391589,0.0,1,5,10.60153600466672,3.0,9.0,39.25557285278104,1,0
7,7.107425474110705,2004,400,1221,34.942810419312295,2005,0,2004.0,20.248456731316587,8.922658299524402,0.0,0.0,1,5,7.874007874011811,2.0,10.63014581273465,28.478061731796284,1,2
6,7.188412736496954,1965,440,1088,36.38681079732051,1965,1,1965.0,25.357444666211933,9.066239028001926,10.04987562112089,0.0,0,5,9.16515138991168,3.0,11.747340124470732,21.095023109728984,1,3
7,7.255591274253665,1999,484,696,26.38181191654584,1999,0,1999.0,24.576411454889016,8.297967982877239,0.0,26.83281572999748,0,5,6.032625105063702,3.0,6.6332495807108,9.591663046625438,1,1
4,6.895682697747867,1973,297,462,22.934689882359432,1973,1,1973.0,21.49418526020468,8.297967982877239,0.0,21.49418526020468,0,5,6.032625105063702,2.0,10.04987562112089,0.0,2,2
6,7.1049654482698426,1941,440,735,29.47880594596735,1950,1,2003.0,19.364916731037084,8.699514748210191,0.0,18.68154169226941,0,6,7.745966692414834,3.0,0.0,18.973665961010276,1,1
7,7.412160334945205,2003,397,746,27.568097504180443,2004,0,2003.0,0.0,8.843759381917984,9.591663046625438,29.93325909419153,2,5,7.745966692414834,3.0,11.31370849898476,27.31300056749533,1,0
6,7.216709486709457,2005,460,1362,36.90528417449187,2006,0,2005.0,4.47213595499958,8.932872621931374,16.0,0.0,0,5,7.810249675906654,2.0,5.291502622129181,36.6333181680284,0,1
6,7.516977224604321,1966,442,756,32.41913015489465,1966,1,1966.0,0.0,8.948975607841774,18.734993995195197,28.0713376952364,0,5,8.366600265340756,4.0,11.135528725660045,27.49545416973504,1,0
6,7.226209010100671,1954,451,1367,37.08099243547832,1954,1,1954.0,0.0,9.333442569110163,0.0,0.0,0,5,8.660254037844387,2.0,5.477225575051661,36.972963094672295,1,0
5,7.022868086082641,1948,528,924,33.49626844888845,2005,0,1948.0,12.0,9.392661928770137,0.0,0.0,0,7,10.0,2.0,6.0,13.114877048604,1,2
5,7.266827347520591,1978,588,1360,37.841775856849,1978,0,1978.0,26.076809620810597,9.69010867127683,0.0,0.0,0,7,8.306623862918075,2.0,13.416407864998735,17.0,2,1
7,7.283448228756631,2007,400,728,26.98147512646408,2007,0,2007.0,0.0,9.106977858981027,0.0,26.981475126464083,2,5,8.06225774829855,3.0,4.898979485566356,26.98147512646408,0,0
7,7.104144092987527,1990,497,1188,34.88552708502481,1991,0,1990.0,24.71841418861655,9.205026277152411,0.0,0.0,0,5,8.306623862918075,3.0,5.196152422706632,24.020824298928627,0,2
5,6.946975992135418,1950,625,0,32.2490309931942,1950,1,1950.0,0.0,8.881836305004146,0.0,0.0,0,7,7.745966692414834,2.0,0.0,0.0,1,0
6,7.109879463072272,2009,528,612,24.73863375370596,2009,0,2009.0,17.146428199482244,8.297967982877239,8.717797887081348,24.73863375370596,1,5,6.032625105063702,2.0,15.297058540778352,17.832554500127006,0,2
7,7.480992162869525,1931,468,952,31.96873472629156,1950,1,1931.0,0.0,8.719317375506371,0.0,27.422618401604176,0,5,7.14142842854285,2.0,0.0,30.854497241083028,1,0
5,7.220373836723949,1900,384,861,31.0,1950,1,1978.0,15.524174696260024,9.036582045842716,0.0,20.14944167960989,0,8,7.071067811865476,4.0,11.40175425099138,15.132745950421556,1,3
5,7.215239978730097,1938,297,803,28.337254630609507,1995,0,1951.0,0.0,8.881836305004146,0.0,23.600847442411894,0,6,7.745966692414834,2.0,8.06225774829855,28.337254630609507,1,0
6,6.742880635791903,2004,420,848,29.120439557122072,2004,0,2004.0,26.40075756488817,8.395251520610994,12.12435565298214,0.0,1,5,8.306623862918075,1.0,0.0,12.288205727444508,0,2
8,7.724004656676065,2003,749,1482,38.49675310984031,2003,0,2003.0,29.51270912674741,9.412791300065305,15.033296378372908,27.92848008753788,2,5,9.219544457292889,3.0,0.0,24.71841418861655,2,2
4,7.106606137727302,1951,396,836,34.928498393145965,1951,1,1951.0,28.91366458960192,9.09121894106832,0.0,0.0,0,5,8.18535277187245,2.0,0.0,0.0,1,4
7,7.254177846456518,2004,398,1375,37.60319135392633,2004,0,2004.0,0.0,8.297967982877239,4.242640687119285,0.0,2,5,8.306623862918075,2.0,4.47213595499958,37.08099243547832,1,0
6,7.629489916393995,1917,396,735,33.67491648096547,1950,1,1950.0,17.860571099491754,9.169518377455928,0.0,30.397368307141328,0,5,7.745966692414834,3.0,0.0,20.396078054371134,1,3
6,7.088408778675395,1920,0,901,32.984845004941285,1998,1,1980.0,0.0,8.628018746505122,0.0,10.488088481701515,0,7,7.745966692414834,4.0,9.899494936611664,30.01666203960727,1,0
8,7.413970290190444,2000,499,1501,40.7308237088326,2000,2,2000.0,34.02939905434711,8.641885635373555,0.0,0.0,2,5,6.324555320336759,2.0,7.681145747868609,18.52025917745213,1,2
6,6.91968384984741,1920,308,1012,31.811947441173736,1950,1,1920.0,0.0,9.019542996701183,0.0,0.0,0,5,7.681145747868608,2.0,4.690415759823429,31.811947441173736,1,0
7,8.033334015880062,1920,672,824,41.0731055558257,1970,1,1970.0,22.869193252058544,9.671744632408457,0.0,31.591137997862628,2,3,10.099504938362076,5.0,7.937253933193772,17.349351572897472,1,2
5,7.502186486602924,1900,672,360,32.12475680841802,1996,0,1999.0,0.0,8.939843124278502,0.0,0.0,0,9,8.717797887081348,4.0,0.0,18.973665961010276,1,0
7,7.564757012905729,2001,650,1057,32.51153641401772,2001,0,2001.0,27.16615541441225,8.860782895806315,0.0,29.5296461204668,2,5,8.306623862918075,3.0,15.329709716755891,17.860571099491754,1,0
5,6.860663671448286,1976,576,911,30.886890422961,1976,1,1976.0,21.977260975835907,9.285447844462988,0.0,0.0,0,5,7.416198487095663,3.0,0.0,20.6881608655772,0,1
9,7.516433302915632,2006,765,1838,42.87190222045203,2006,2,2006.0,35.4964786985977,9.588845298501564,24.166091947189145,0.0,0,5,9.219544457292889,2.0,8.246211251235321,24.04163056034261,0,2
6,7.402451520818244,1954,924,1296,40.49691346263317,2006,0,1993.0,26.98147512646408,9.600894867348591,8.48528137423857,0.0,0,7,8.306623862918075,3.0,0.0,23.83275057562597,1,5
5,7.045776576879511,1959,672,1148,33.88214869219483,1959,1,1959.0,33.88214869219483,8.97853441008332,0.0,0.0,0,5,8.366600265340756,3.0,0.0,0.0,1,5
5,6.856461984594587,1971,280,950,30.822070014844883,1971,1,1981.0,20.29778313018444,9.185842740375785,0.0,0.0,0,5,7.810249675906654,3.0,0.0,15.84297951775486,1,5
